nda_number,product_number,nadac_NDC
16822,6,
16822,7,
16829,1,
16830,1,
16831,1,378479106
16831,2,378479106
16831,3,378479106
16832,1,
16832,2,
16832,3,
16834,1,
16844,1,
16847,1,
16848,1,
16851,2,60758088015
16852,1,
16854,1,
16860,1,
16861,1,
16862,2,
16863,1,
16885,1,
16891,1,
16904,1,
16904,2,
16908,2,
16908,3,
16909,2,47781056973
16911,1,
16911,2,
16912,1,
16912,2,
16912,3,
16912,4,
16912,5,
16912,6,
16913,1,
16913,2,
16913,3,
16913,4,
16913,5,
16921,1,
16921,2,
16923,1,
16927,1,
16928,3,
16929,1,
16931,1,
16932,1,
16936,1,
16942,1,
16943,1,
16948,1,
16948,2,
16948,3,
16949,1,
16949,2,
16954,1,
16964,1,409161050
16964,4,409161050
16964,5,409161050
16964,6,409161050
16964,7,409161050
16964,8,409161050
16964,9,409161050
16964,10,409161050
16964,12,409161050
16964,13,409161050
16968,1,
16979,1,
16979,2,
16980,1,
16983,1,
16987,1,
16987,2,
16987,3,
16987,4,
16987,6,
16987,7,
16988,1,
16990,1,
16996,1,
16997,1,
16998,2,
17001,1,
17001,2,
17007,1,
17007,2,
17007,3,
17007,4,
17007,5,
17007,6,
17007,7,
17007,10,
17010,1,
17011,1,60758011915
17013,1,
17015,1,
17015,2,
17020,1,
17020,2,
17020,3,
17020,4,
17020,5,
17027,1,
17027,2,
17027,3,
17027,4,
17027,5,
17027,6,
17027,7,
17027,8,
17027,9,
17027,10,
17027,11,
17029,1,63323091501
17029,2,63323091501
17029,3,63323091501
17029,4,63323091501
17029,10,63323091501
17029,13,63323091501
17029,14,63323091501
17029,15,63323091501
17029,16,63323091501
17029,19,63323091501
17029,20,63323091501
17031,1,
17033,1,
17033,2,
17033,3,
17033,4,
17036,1,
17037,1,72572025525
17037,2,72572025525
17037,3,72572025525
17037,13,72572025525
17038,1,
17042,1,
17045,1,
17046,1,
17046,2,
17047,1,
17048,1,
17057,2,
17058,1,
17059,1,
17060,1,52544062928
17063,1,
17064,2,
17064,3,
17064,4,
17064,5,
17064,6,
17064,15,
17064,16,
17064,17,
17064,18,
17064,19,
17078,1,64896067410
17078,2,64896067410
17078,3,64896067410
17079,1,
17084,1,
17087,1,
17090,1,
17090,2,
17090,3,
17090,4,
17098,1,
17100,1,11980017410
17105,1,
17105,2,
17105,3,
17105,4,
17105,5,
17105,6,
17105,7,
17105,8,
17106,1,
17106,2,
17106,3,
17106,4,
17108,1,
17108,2,
17108,3,
17108,4,
17109,1,
17111,1,
17111,2,
17111,3,
17111,4,
17111,5,
17111,6,
17111,7,
17111,8,
17116,2,
17122,1,
17122,2,
17129,1,
17130,1,
